roi	atlas	hemi	ROIName	lobe
1	HOCortical	left	Frontal Pole	Frontal
1	HOSubcortical	left	Left Cerebral White Matter	NA
2	HOSubcortical	left	Left Cerebral Cortex	NA
3	HOCortical	left	Sup. Frontal Gyrus	Frontal
4	DKT	left	caudal middle frontal	Frontal
4	HOCortical	left	Mid. Frontal Gyrus	Frontal
5	HOCortical	left	Inf. Frontal Gyrus pars triangularis	Frontal
6	HOCortical	left	Inf. Frontal Gyrus pars opercularis	Frontal
7	HOCortical	left	Precentral Gyrus	Frontal
8	Glasser	left	4	Frontal
8	HOCortical	left	Temporal Pole	Temporal
9	Glasser	left	3b	Parietal
9	HOCortical	left	Sup. Temporal Gyrus ant.	Temporal
9	HOSubcortical	left	Left Hippocampus	NA
10	DKT	left	inferior temporal	Temporal
10	Glasser	left	FEF	Frontal
10	HOCortical	left	Sup. Temporal Gyrus post.	Temporal
10	HOSubcortical	left	Left Amygdala	NA
11	Glasser	left	PEF	Frontal
11	HOCortical	left	Mid. Temporal Gyrus ant.	Temporal
12	Glasser	left	55b	Frontal
12	HOCortical	left	Mid. Temporal Gyrus post.	Temporal
13	DKT	left	lateral orbitofrontal	Frontal
13	HOCortical	left	Mid. Temporal Gyrus temporooccipital	Temporal
14	HOCortical	left	Inf. Temporal Gyrus ant.	Temporal
15	DKT	left	medial orbitofrontal	Frontal
15	HOCortical	left	Inf. Temporal Gyrus post.	Temporal
16	DKT	left	middle temporal	Temporal
19	DKT	left	pars opercularis	Frontal
19	HOSubcortical	right	Right Hippocampus	NA
20	DKT	left	pars orbitalis	Frontal
20	HOCortical	left	Supramarginal Gyrus post.	Parietal
20	HOSubcortical	right	Right Amygdala	NA
21	DKT	left	pars triangularis	Frontal
21	HOCortical	left	Angular Gyrus	Parietal
23	DKT	left	postcentral	Parietal
25	DKT	left	precentral	Frontal
25	Glasser	left	PSL	Parietal, Temporal
25	HOCortical	left	Frontal Medial Cortex	Frontal
26	Glasser	left	SFL	Frontal
26	HOCortical	left	Juxtapositional Lobule Cortex	Frontal
28	Glasser	left	STV	Temporal
29	DKT	left	superior frontal	Frontal
31	DKT	left	superior temporal	Temporal
32	DKT	left	supramarginal	Parietal
33	HOCortical	left	Frontal Orbital Cortex	Frontal
35	Glasser	left	31pv	Limbic
37	HOCortical	left	Temporal Fusiform Cortex ant.	Temporal
